description,category
"Municode is a codifier, providing a wealth of legal, editorial, and publishing services for public and private sector customers.",Business & Legal Services
"National Van Lines provides moving services for households, corporate relocation, government and the military.",Transportation
Nationwide provides a full range of personalized insurance and financial services.,Insurance
Nautilytics develops software that enables businesses to understand and make informed decisions from complex and dynamic data.,Data/Technology
"Navico is the world‚Äôs largest marine electronics company, and is the parent company to leading marine electronics brands: Lowrance, Simrad and B&G.",Geospatial/Mapping
"NERA Economic Consulting is a global firm dedicated to applying economic, finance, and quantitative principles to complex business and legal challenges.",Research & Consulting
"Nerdwallet helps consumers with money questions on banking, insurance, health care, investments, education, housing, travel, and shopping.",Finance & Investment
"Mom Maps helps you find kid friendly locations on the go! Search an extensive list of parks, playgrounds, restaurants, museums and indoor play areas.",Geospatial/Mapping
"Next Step Living helps make homes more energy-efficient to lower utility bills, increase comfort, and shrink their carbon footprint.",Energy
"NextBus is dedicated to providing cost effective, high quality, reliable, real-time transportation information to the passengers and managers of public transit.",Transportation
"nGAP develops Cloud based SaaS solutions with a focus on accountability and transparency in government procurement, including the flagship product, the Open Acquisition System (OAS).",Governance
"Nielsen Holdings is a global information and measurement company with positions in marketing and consumer information, television and other media measurement.",Research & Consulting
"Noesis is a web-based platform for energy efficiency projects, used by commercial and industrial energy professionals to unlock billions in energy savings.",Energy
"NonprofitMetrics is an analytics website that helps companies find, evaluate, and secure business with nonprofits",Data/Technology
"North American Van Lines is a licensed, bonded and insured mover with physical locations throughout North America.",Transportation
"Noveda Technologies is an provider of real-time, web-based energy and water monitoring.",Data/Technology
"NuCivic delivers a suite of open source products that help governments and non-profit organizations host and manage open data, app store, hackathon platforms.",Governance
NuMedii creates new drugs for specific patient subgroups by translating life sciences Big Data into therapies with a higher probability of therapeutic success.,Scientific Research
"Oliver Wyman is a global management consulting firm. We combine industry knowledge with expertise in strategy, operations, risk management, and organization transformation.",Research & Consulting
OnDeck is a technology-powered Main Street lender that uses big data to deliver financing to small businesses.,Finance & Investment
"OnStar uses CDMA mobile voice and data communication, and location information, to enable drivers and passengers to receive emergency services, vehicle diagnostics and directions.",Geospatial/Mapping
"Ontodia converts raw data to actionable, hyperlocalized knowledge, enabling data-driven decisions and conversations. From big data to small, actionable knowledge.",Data/Technology
"From current and future bidding opportunities, to agency and competitive insights, Onvia gives companies the intelligence they need to win more government business.",Governance
"Open Data Nation creates plug-and-play, productivity-based solutions that combine open, public data with data science techniques to increase transparency and productivity of public agencies. 
 ",Research & Consulting
OpenCounter helps entrepreneurs get their businesses up and running more quickly and easily by providing an online interface to the permitting process at City Hall.,Governance
OpenGov enables officials and citizens to access government financial data so they can improve trust and dialogue between cities and citizens.,Governance
"OpenPlans builds open source civic infrastructure, collaborating with the public sector to create technology for more efficient, responsive, and inclusive government.",Governance
OpportunitySpace engages communities with open data to drive smart uses for public land.,Housing/Real Estate
Optensity enables users and analysts of big data to easily experiment with it and develop new insights.,Data/Technology
OptiGov allows citizens to monitor local government spending and helps governments find the best vendors at the most reasonable cost.,Governance
"OptumInsight specializes in improving the performance of the health system by providing analytics, technology and consulting services that enable better decisions and results.",Healthcare
The Orlin Data System reduces the costs of research by allowing analysts to manipulate data without the assistance of professional programming staff.,Data/Technology
"OSIsoft delivers the PI System, for management of real-time data and events in manufacturing, energy, utilities, life sciences, data centers, facilities, and the process industries.",Data/Technology
"OTC Markets Group's financial marketplaces provides investors with information to intelligently analyze, value and trade US/global securities through the broker of their choice.",Finance & Investment
Outline Systems is an Insurance Technology firm that helps Insurers grow by improving the efficiency and effectiveness of their distribution channels.,Governance
"Oversight Systems analyzes company data to return tailored insights that help identify errors, policy violations, and potential fraud, and opportunities to change or improve processes.",Business & Legal Services
"Overture's technology powers business rules and automated underwriting applications for higher education, mortgage and small business finance industries.",Data/Technology
"Owler is a mobile and online resource that helps you follow, track, and research companies.",Business & Legal Services
"Palantir Technologies builds software platforms that help people perform powerful, collaborative analysis of data at scale.",Data/Technology
"Panjiva is a major provider of intelligence to global trade professionals, enabling businesses to connect across borders.",
"Parsons Brinckerhoff is a multinational engineering and design firm that operates in the fields of strategic consulting, planning, engineering, construction management, and infrastructure/community planning.",Transportation
Patently-O is the nation's leading patent law blog. ,Media
"PatientsLikeMe is designed to make healthcare better for everyone through sharing, support, and research.",Healthcare
"Pave enables individuals to raise funding from individual backers safely and securely, using an income prediction model based on historical government data.",Finance & Investment
Paxata introduces the Adaptive Data Preparation platform built for the business analyst.,Data/Technology
PayScale provides compensation data for individuals and business to maximize their value.,Business & Legal Services
PeerJ is an innovative Open Access academic publisher with the mission to help the world efficiently publish its knowledge.,Scientific Research
"People Power created an app called, ""Presence"", which turns smartphoens into WiFi/cellular video cameras for monitoring.",Data/Technology
"Persint is building a new way for users to gain control of their personal finances, and view personalized recommendations.",Finance & Investment
Personal Democracy Media covers how technology and the Internet are changing democracy in America.,Governance
"Personal.com provides individuals with secure digital vaults for storing, sharing, importing, and reusing their important data and files, including for auto form-filling.",Lifestyle & Consumer
Personalis is a contract research organization and genome-scale diagnostics services company pioneering genome guided medicine.,Scientific Research
Peterson's provides an integrated suite of products and services that are designed to assist students and families in the planning and preparation for college/career/military.,Education
helps plug-in electric vehicle (PEV) owners by providing information and applications to help educate consumers on PEVs and other renewable energy products.,Energy
PIXIA Corp was formed in by entertainment industry technologists who apply the tenets of large data management to solve US Government data access challenges.,Data/Technology
We provide you with the best neighborhood data to help everyone find the best place to live,Housing/Real Estate
"Through the P-ECOSYS technology platform, PlanetEcosystems helps utility service providers develop deep and engaging relationships with their customers by delivering increased value from their services.",Energy
PlotWatt shows people how to reduce their electricity bills by analyzing smart meter data to identify sources of energy waste,Energy
"Plus-U matches students to colleges based on education, career and financial goals.",Education
"PolicyMap is a web-based GIS and mapping company that captures and visualizes data including demographics, health data, mortgage trends, school performance scores, and crime statistics.",Geospatial/Mapping
Politify is a tool to forecast the financial impacts of political scenarios.,Governance
"Poncho delivers personalized weather reports every morning, tailored to your routine, delivered by email or text.",Environment & Weather
POPVOX.com is a transformative advocacy platform that meshes legislative data with personal stories and public sentiment.,Governance
Porch has developed a data driven home improvement network ‚Äì the public space of your private home.,Housing/Real Estate
"PossibilityU delivers an online blended college counseling program, designed specifically for high school students and their families, but led by your school's professional counseling staff.",Education
"PowerAdvocate provides market and cost intelligence to energy companies to optimize financial results, combining information, innovative technology, and expert services to produce market intelligence.",Energy
"Practice Fusion provides a free, web-based electronic health record (EHR) system to physicians.",Healthcare
"Predilytics is a healthcare predictive analytics company, taking machine learning techniques from financial services and consumer acquisition sectors and applying them to population health.",Healthcare
"PricewaterhouseCoopers is a network of firms in countries that delivers quality in assurance, tax and advisory services.",Finance & Investment
"ProgrammableWeb is a leading directory with over APIs and is a reference with listings of code libraries, tutorials, product reviews and more.",Data/Technology
"Progressive is an American auto insurance group that sells insurance directly to customers online, by phone, and through local independent agents.",Insurance
Propeller Health enables people with asthma to track their symptoms and triggers and better use their medication.,Healthcare
"ProPublica is an independent, non-profit newsroom that produces investigative journalism in the public interest.",Governance
"PublicEngines' mission is to help prevent, reduce, and solve crime with easy-to-use, cloud-based solutions that facilitate crime analysis, supply actionable intelligence, and increase public engagement.",Governance
"Given business needs, we architect the solution; analyze data; automate reporting.",Research & Consulting
Qado Energy provides advanced distribution grid analytics software that enables utilities to evolve and optimize their distribution grids.,Energy
"Quandl lets users search over financial, economic, and social datasets.",Data/Technology
"Quertle is an information technology company that provides an award-winning, easy to use, powerful search engine for scholarly literature.",Data/Technology
Quid software helps users explore complex data and networks on technology areas of interest and provides them with the ability to monitor them over time.,Data/Technology
"RR Donnelley, a global integrated communications provider, uses digital, conventional, and web-based technologies to provide premedia, printing, logistics and business process outsourcing.",Business & Legal Services
The RAND Corporation is a think tank that helps improve policy and decision-making through research and analysis.,Research & Consulting
"Rand McNally specializes in maps, navigation, road travel, and trip planning; it provides products and services for consumers, the transportation market, and educators.",Geospatial/Mapping
"Rank and Filed is like the Securities and Exchange Commission's EDGAR database, but for humans. It provides free access to filings and financial data.",Finance & Investment
"Ranku helps students discover, compare and connect to the best online degrees in the United States.",Education
Rapid Cycle Solutions is an innovative small business providing technical expertise to support Federal Agency mission-critical requirements.,Data/Technology
Realtor.com has real estate listings for millions of homes for sale in regions across the United States and Canada.,Housing/Real Estate
Recargo is a software and services company that provides guidance to drivers and industry to support the adoption and growth of plug-in car technology.,Energy
"ReciPal works with food businesses, kitchens and consumers to conduct nutrition analysis and labelling.",Food & Agriculture
Redfin is a company of real estate agents and software engineers on a mission to make buying or selling a home better for you.,Housing/Real Estate
RedLaser is a barcode-scanning application for comparison shopping and finding product information using a mobile device.,Lifestyle & Consumer
"Reed Elsevier is a global provider of professional information solutions that serves professional customers across industries, helping them make better decisions and be more productive.",Business & Legal Services
REI Systems is a leading provider of federal open government/transparency solutions and has built many high-profile websites in the federal government.,Data/Technology
Relationship Science (RelSci) is a business development tool that provides deep information about influential people.,Business & Legal Services
Remi uses quantitative economic analysis to guide policy decisions.,Governance
Retroficiency enables utilities and large energy service providers to drive deeper building energy efficiency savings in less time.,Energy
Carfax meets Yelp for homes.,"Housing/Real Estate,"
"Revelstone provides a web-based performance analytics, benchmarking and open data platform to enable data driven decisions.",Governance
The Rezolve Group is a technologies and services company that focuses exclusively on post-secondary student financial aid.,Education
"Rivet Software uses XBRL to create, exchange, present, and consume financial information for greater transparency, improved efficiencies, and reduced risk.",Finance & Investment
"Roadify Transit provides real-time/multi-mode arrivals, service advisories and directions for mobile apps and public signage throughout North America.",Transportation
Robinson + Yu helps leaders build public policy that unlocks the Internet's potential while managing its risks.,Research & Consulting
"Russell Investments provides tools to help investors build, track and trade investment portfolios.",Finance & Investment
"Sage Bionetworks works to redefine how complex open biological data is gathered, shared and used.",Scientific Research
SAP is a software company developing enterprise resources planning and business objects software.,Data/Technology
"SAS is a software suite developed by SAS Institute for advanced analytics, business intelligence, data management, and predictive analytics.",Data/Technology
"Scale Unlimited provides consulting and training services for big data analytics, search, and web mining.",Data/Technology
"Science Exchange is a marketplace for scientific collaboration, where researchers can order experiments from the world's best labs.",Scientific Research
"Seabourne makes it possible to use information to gain new insights, get new value from legacy data systems, improve decision making and power new products.",Data/Technology
"SeeClickFix allows anyone to report and track non-emergency issues anywhere via the internet, empowering citizens, community groups, media organizations and governments to improve their neighborhoods.",Governance
SigFig tracks individuals' financial assets and provides detailed visualizations of their investments and recommendations on how to manage them.,Finance & Investment
"Simple Energy leverages energy data analytics, individualized messaging, and leading behavioral science to motivate customers to take the actions their utilities value most.",Energy
The goal of SimpleTuition is to make it easier for students and their families to afford a higher education.,Education
"Government data ""sleeps"" in databases. SlashDB instantly adds a web API so the data becomes accessible to authorized web and mobile applications and analytics systems.",Data/Technology
"Smart Utility Systems focusses on products, solutions and services that accelerate return on smart grid investments for the energy and utility sector.",Energy
"SmartAsset provides actionable, objective and easy-to-understand financial analytics and advice to consumers.",Finance & Investment
SmartProcure improves government procurement by connecting government agencies to contractors with a database of government purchase data.,Governance
"Smartronix is an information technology and engineering solutions provider with core offerings focused around NetOps, Cyber Security, Cloud Computing, Enterprise Software and Health IT.",Data/Technology
SnapSense Dashboards are online products for communities to track data for real time intuitive decision-making.,Research & Consulting
Social Explorer provides access to census and demographic data. Its interface lets users create maps and reports to illustrate and understand demography and social change.,Data/Technology
Social Health Insights is building platforms that positively impact health.,Healthcare
"SocialEffort's mission is to enable charities, non profits, and businesses to seamlessly integrate volunteering into people's lifestyles.",Lifestyle & Consumer
Socrata's mission is to connect people to the government data they need and want.,Data/Technology
Solar Census is software company that is building the first commercial-grade online shade tool for the solar industry.,Energy
SolarList helps people go solar.,Energy
Sophic provides innovative software to help accelerate the process of drug discovery.,Scientific Research
S&P Capital IQ serves global financial clients by providing enterprise solutions and research offerings.,Finance & Investment
"SpaceCurve, developers of a real-time big data platform, delivers immediately actionable intelligence and turn data into value as quickly as it is created.",Data/Technology
"SpeSo Health is an online platform that connects patients with rare and orphan diseases with care providers who are experts for those complex, high-cost conditions.",Healthcare
"Spikes Cavell delivers data, analytics and business intelligence solutions to the public sector.",Data/Technology
"Splunk indexes and makes searchable data from any app, server or network device in real time including logs, configuration files, messages, alerts, scripts and metrics.",Data/Technology
Spokeo is a people search website that aggregates data from many online and offline sources.,Lifestyle & Consumer
SpotCrime is a public facing crime mapping and alert website that utilizes open crime data to inform residents of crime in their area.,Governance
SpotHero provides parking at over locations in the Chicago area and is expanding to other cities around the U.S.,Transportation
Stamen Design specializes in an emerging genre of interactive mapping and live data visualization.,Geospatial/Mapping
"S&P is a leading provider of global credit benchmarks and research across industries, asset classes, and geographies.",Finance & Investment
State Farm is a group of insurance and financial services companies in the United States.,Insurance
"Sterling helps companies make fast and well‚ hiring decisions by delivering comprehensive, accurate, and cost‚ background screening and drug testing services.",Business & Legal Services
"Stevens Worldwide Van Lines is a moving and storage company ‚ providing personal/household moving, business moving, and international moving.",Transportation
"Stillwater is providing better, faster, and cheaper methods to transform raw data into operational benefit, through characterization, prediction, and optimization.",Research & Consulting
StockSmart helps investors understand information and make decisions with the benefit of automated guidance.,Finance & Investment
"Stormpulse offers Riskpulse, a suite of risk management solutions for businesses affected by uncontrollable events.",Environment & Weather
StreamLink Software offers SaaS grant and board management platforms that bridge disparate systems and processes creating dynamic ecosystems that drive performance and ensure compliance.,Data/Technology
"StreetCred is a software-as-a-service offering created by police officers who understand how police officers use information, data and leads.",Governance
StreetEasy provides consumers and real estate professionals a transparent and complete view of the NYC residential real estate market.,Housing/Real Estate
"Suddath provides transportation, relocation, warehousing and logistics, specializing in household goods relocations, global mobility, office moving and workplace solutions, and trade show and exhibit displays.",Transportation
Symcat uses a broad array of medical data to allow users to intelligently check their symptoms against potential diagnoses and plan medical care if necessary.,Healthcare
Synthicity builds easy-to-use tools and provides custom solutions to help answer difficult urban development questions.,Housing/Real Estate
T. Rowe Price is an independent investment management firm.,Finance & Investment
Tableau Software produces a family of interactive data visualization products focused on business intelligence.,Data/Technology
"TagniFi is buidling a financial database for leading investment, research and content organizations using a collection process resulting in more timely, cleaner and consistent data.",Finance & Investment
"Telenav's navigation services help people make decisions about where to go, when to leave, how to get there, and what to do when they arrive.",Geospatial/Mapping
Tendril enables utilities companies to drive customer engagement via a rich and tailored experience for the home energy consumer.,Energy
"Teradata Corporation is an American computer company that sells database software for data warehouses and analytic applications, including Big Data.",Data/Technology
"The Advisory Board Company is a global research, technology, and consulting firm advising organizations across health care and higher education.",Research & Consulting
The Bridgespan Group is a nonprofit advisor and resource for mission-driven organizations and philanthropists.,Research & Consulting
DocGraph is a data set comprised of fifty million connections that shows how healthcare providers team to provide care.,Healthcare
The Govtech Fund is a venture fund focused on investing in startups that are transforming the trillion dollar government software / IT market.,Finance & Investment
The Schork Report is a daily subscription research note providing comprehensive technical and fundamental daily views of the energy cash and financial markets.,Energy
"Vanguard is an investment company that, uniquely, is owned by its clients.",Finance & Investment
"Think Computer Corporation creates web-based software that makes business more efficient, effective, and secure.",Business & Legal Services
Thinknum is a web platform for financial analysis.,Finance & Investment
Thomson Reuters Corporation is a multinational media and information firm based in New York City.,Business & Legal Services
"The TopCoder community gathers the world‚Äôs experts in design, development and data science to work on interesting and challenging problems for fun and reward.",Data/Technology
"Rapleaf makes it easy for marketers to access the data they need to personalize content for their customers, fueling marketing automation tools.",Data/Technology
TransparaGov helps state and local governments improve their management processes.,Governance
"TransUnion provides credit information and information management services, serving approximately businesses and approximately million consumers worldwide.",Business & Legal Services
"Trialtrove is a real-time source of pharmaceutical clinical trials intelligence, using information from data sources for a reference of research in over countries.",Healthcare
TrialX is an online platform that utilizes novel semantic algorithms to match patients to clinical trial investigators near them.,Healthcare
"Trintech provides software solutions and is a global provider of integrated financial governance, transaction risk management, and compliance solutions for commercial, financial, and healthcare markets.",Finance & Investment
"TrueCar, Inc. is an automotive pricing and information website for new and used car buyers and dealers.",Transportation
"Trulia gives home buyers, sellers, owners and renters the inside scoop on properties, places and real estate professionals.",Housing/Real Estate
TrustedID is an identity protection company that offers services that help consumers detect risk of identity theft and control the use of their personal information.,Lifestyle & Consumer
"TuvaLabs enables students to be critical thinkers and persistent problem-solvers, and empowers them to become active members in their own community and global citizens.",Education
"Uber connects riders to drivers through apps to make cities more accessible, opening up more possibilities for riders and more business for drivers.",Transportation
Unigo.com is a resource for prospective college students and parents looking for authentic information about the schools they‚Äôre considering.,Education
United Mayflower Container Services provides local and long-distance moving and storage services.,Transportation
Urban Airship offers Mobile Relationship Management (MRM) solutions.,Business & Legal Services
"Urban Mapping offers 'embedded geographic technology,'  offering spatial operations (create maps, generate reports, etc...) using an on-demand collection of data, which includes over variables.",Geospatial/Mapping
"U.S. Green Data develops products that catalyze investment in energy development and efficiency, building innovative tools that improve how the world understands energy information.",Energy
US News is a recognized provider of college and graduate school rankings.,Education
"USAA aims to facilitate the financial security of its members, associates, and their families through provision of a range of competitive financial products and services.",Finance & Investment
"USSearch.com is a major online provider of people search, background checks, phone number lookups and public records in the US.",Business & Legal Services
"Verdafero delivers unified utility analytics software solutions for businesses to capture, analyze, visualize and report their entire utility usage across multiple utility streams and facilities.",Data/Technology
"Vimo offers short term, group/small business, individual, and family health insurance.",Insurance
"VisualDoD is a web-based integrated platform for rapid discovery, visualization, analysis and forecasting of spending in the US defense market and selected adjacent markets.",Aerospace and Defense
"Niinja is a search engine for Federal Logistics Information System (FLIS) datasets, which include information on products purchased by the U.S. Defense Department.",Data/Technology
VitalChek provides an affordable and reliable way to obtain government-issued vital records such as birth certificates and online services government agencies.,Governance
"Vitals.com uses data and patient insight to help people find doctors, appointments, and procedures and help doctors and hospitals attract patients.",Healthcare
Vizzuality is a mission-driven company that tries to help people communicate data to tell stories that matter.,Geospatial/Mapping
Votizen is a web service that allows you to discover how your social networks are registered to vote.,Governance
"Walk Score's mission is to promote walkable neighborhoods - one of the simplest and best solutions for the environment, our health, and our economy.",Lifestyle & Consumer
WaterSmart Software helps water utilities achieve their customer engagement and water efficiency goals by making it easier for customers to save water and money.,Environment & Weather
"WattzOn is a personal energy management platform that helps people save money, save energy and go green, combining propriety data and analytics and scientific research.",Energy
Way Better Patents is fighting information poverty one app at a time.,Business & Legal Services
"The Weather Channel and weather.com provide a national and local weather forecast for cities, as well as weather radar, report and hurricane coverage.",
"Weather Decision Technologies provides online and mobile weather forecasting, detection, and nowcasting to industrial sectors including insurance, recreation, construction, aviation, and energy.",Environment & Weather
"Weather Underground provides free, real-time online weather information to users, as well as a variety of Newspaper Weather Services and Custom Site Weather Packages.",Environment & Weather
WebFilings is the creator of Wdesk‚Äîbusiness reporting in real time.,Finance & Investment
"Webitects is a web design, design research, and software development consultancy that has been a major sponsor and participant in Chicago's growing open data movement.",Data/Technology
"WebMD provides health information and services to consumers and healthcare professionals, with online healthcare information, decision-support applications and communications services.",Healthcare
Weight Watchers is an international company based in the United States that offers various products and services to assist weight loss and maintenance.,Lifestyle & Consumer
"WeMakeItSafer's mission is to dramatically reduce the number of product-related injuries, illnesses and deaths that occur each year worldwide.",Lifestyle & Consumer
"Wheaton World Wide Moving is a transportation service provider that conducts corporate relocations, interstate moves, relocation services, military and special moves.",Transportation
"The Whitby Group works on finding solutions for diverse, challenging, toilet-related problems.",Research & Consulting
"Wolfram Research is a leading developer of technical computing software, offering organization-wide computing solutions.",Data/Technology
"Wolters Kluwer provides information, software, and services to help legal, tax, finance, and healthcare professionals be more effective and efficient.",Business & Legal Services
WorkHands is a meeting place for American workers .,Lifestyle & Consumer
Xatori is a technology company focused on building innovative software for connected cars and an enlightened electricity grid.,Energy
Xcential is a vendor of legislative products and services to governmental bodies at all levels.,Governance
"The xDayta marketplace connects data buyers and sellers, provides price trending charts, shows data samples and regulates trades.",Data/Technology
"Xignite provides financial web services with real-time, historical and reference data for global equities, commodities, currencies, options, fixed income, mutual funds, derivatives and over-the-counter instruments.",Finance & Investment
"Yahoo Inc. is a major internet brand with search, content verticals, and other web services.",Lifestyle & Consumer
"Zebu Compliance Solutions improves medical coding efficiency, reimbursement assurance, auditing toolsets, claim accuracy, and staff licensing/exclusion monitoring.",Healthcare
"Yelp, Inc. operates an ""online urban guide"" and business review website.",Lifestyle & Consumer
YourMapper provides curated civic open geodata for your applications on demand.,Geospatial/Mapping
Zillow is an online real estate database.,Housing/Real Estate
"Patients use ZocDoc to book appointments with a wide range of medical specialties, cities, serving more than of the US population.",Healthcare
Zonability is a web application that provides economic development corporations an efficient way to identify and promote their community‚Äôs real estate assets.,Housing/Real Estate
Zoner leverages transparency over fear so a property investor can make more informed decisions hopefully benefitting the environment with better development decisions.,Housing/Real Estate
The Zurich Risk Room is a proprietary global risk analysis tool designed to help illustrate the impact of multivariate risks on individual countries and regions.,Insurance
 M Company develops  manufactures  and markets various products worldwide. It operates through four business segments: Safety and Industrial  Transportation and Electronics  Health Care  and Consumer.,Lifestyle & Consumer
 A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters  boilers  tanks  and water treatment products in North America  China ,Lifestyle & Consumer
 Abbott Laboratories discovers  develops  manufactures  and sells health care products worldwide. Its Established Pharmaceutical Products segment offers generic pharmaceuticals for the treatment of pancreatic exocrine,Healthcare
 AbbVie Inc. discovers  develops  manufactures  and sells pharmaceuticals in the United States  Japan  Germany  Canada  France  Spain  Italy  the Netherlands  the United Kingdom  Brazil  and,Healthcare
 Accenture plc  a professional services company  provides strategy and consulting  interactive  and technology and operations services worldwide. The company also provides outsourcing services. It serves,Data/Technology
 Activision Blizzard  Inc.  together with its subsidiaries  develops and distributes content and services on video game consoles  personal computers (PC)  and mobile devices in the,Data/Technology
 Acuity Brands  Inc. provides lighting and building management solutions and services for commercial  institutional  industrial  infrastructure  and residential applications in North America and internationally. The,Lifestyle & Consumer
 Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals  teams  and enterprises to create ,Data/Technology
 Advance Auto Parts  Inc. provides automotive replacement parts  accessories  batteries  and maintenance items for domestic and imported cars  vans  sport utility vehicles  and light and,Lifestyle & Consumer
 Advanced Micro Devices  Inc. operates as a semiconductor company worldwide. The company operates in two segments  Computing and Graphics; and Enterprise  Embedded and Semi-Custom. Its,Data/Technology
 The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers ,Energy
 Affiliated Managers Group  Inc.  through its affiliates  operates as an asset management company providing investment management services to mutual funds  institutional clients  and high net,Finance & Investment
 Aflac Incorporated  through its subsidiaries  provides supplemental health and life insurance products. It operates through two segments  Aflac Japan and Aflac U.S. The Aflac Japan,Finance & Investment
 Agilent Technologies  Inc. provides application focused solutions to the life sciences  diagnostics  and applied chemical markets worldwide. It operates in three segments: Life Sciences and,Healthcare
 Air Products and Chemicals  Inc. provides atmospheric gases  process and specialty gases  equipment  and services worldwide. The company produces atmospheric gases  including oxygen  nitrogen  argon ,Healthcare
 Akamai Technologies  Inc. provides cloud services for delivering  optimizing  and securing content and business applications over the Internet in the United States and internationally. It,Data/Technology
 Alaska Air Group  Inc.  through its subsidiaries  provides passenger and cargo air transportation services. The company operates through three segments: Mainline  Regional  and Horizon. It,Lifestyle & Consumer
 Albemarle Corporation develops  manufactures  and markets engineered specialty chemicals worldwide. The company operates in three segments: Lithium  Bromine Specialties  and Catalysts. The Lithium segment offers,Lifestyle & Consumer
" Alexandria Real Estate Equities  Inc. (NYSE:ARE)  an S&P urban office real estate investment trust (""REIT"")  is the first  longest-tenured  and pioneering owner  operator  and",Lifestyle & Consumer
 Alexion Pharmaceuticals  Inc. develops and commercializes various therapeutic products. The company offers ULTOMIRIS  a  inhibitor for the treatment of paroxysmal nocturnal hemoglobinuria (PNH),Healthcare
 Align Technology  Inc.  a medical device company  designs  manufactures  and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner,Healthcare
 Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. The company offers door closers and controls; doors and door systems; electronic,Lifestyle & Consumer
 Alliance Data Systems Corporation provides data-driven marketing and loyalty solutions in the United States  Canada  Europe  the Middle East  Africa  the Asia Pacific  and others.,Data/Technology
 Alliant Energy Corporation operates as a utility holding company that provides regulated electricity and natural gas services in the Midwest region of the United States.,Energy
 The Allstate Corporation  through its subsidiaries  provides property and casualty  and other insurance products in the United States and Canada. The company operates through Allstate,Finance & Investment
 Alphabet Inc. provides online advertising services in the United States  Europe  the Middle East  Africa  the Asia-Pacific  Canada  and Latin America. It offers performance and,Data/Technology
 Alphabet Inc. provides online advertising services in the United States  Europe  the Middle East  Africa  the Asia-Pacific  Canada  and Latin America. It offers performance and,Data/Technology
 Altria Group  Inc.  through its subsidiaries  manufactures and sells cigarettes  smokeless products  and wine in the United States. It offers cigarettes primarily under the Marlboro,Lifestyle & Consumer
 Amazon.com  Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America ,Lifestyle & Consumer
 Ameren Corporation  together with its subsidiaries  operates as a public utility holding company in the United States. It operates through four segments: Ameren Missouri  Ameren,Energy
 American Airlines Group Inc.  through its subsidiaries  operates as a network air carrier. It provides scheduled air transportation services for passengers and cargo. As of,Lifestyle & Consumer
 American Electric Power Company  Inc.  an electric public utility holding company  engages in the generation  transmission  and distribution of electricity for sale to retail and,Energy
 American Express Company  together with its subsidiaries  provides charge and credit payment card products  and travel-related services worldwide. The company operates through three segments: Global,Finance & Investment
 American International Group  Inc. provides insurance products for commercial  institutional  and individual customers in North America and internationally. The company's General Insurance segment offers general,Finance & Investment
 American Tower  one of the largest global REITs  is a leading independent owner  operator and developer of multitenant communications real estate with a portfolio of,Finance & Investment
 American Water Works Company  Inc.  through its subsidiaries  provides water and wastewater services in the United States. It offers water and wastewater services to approximately,Energy
 Ameriprise Financial  Inc.  through its subsidiaries  provides various financial products and services to individual and institutional clients in the United States and internationally. It operates,Finance & Investment
 AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals  over-the-counter healthcare products ,Healthcare
 AMETEK  Inc. manufactures and sells electronic instruments and electromechanical devices worldwide. It operates through two segments  Electronic Instruments (EIG) and Electromechanical (EMG). The company's EIG,Lifestyle & Consumer
 Amgen Inc. discovers  develops  manufactures  and delivers human therapeutics worldwide. It focuses on inflammation  oncology/hematology  bone health  cardiovascular disease  nephrology and neuroscience areas. The company's,Healthcare
 Amphenol Corporation  together with its subsidiaries  primarily designs  manufactures  and markets electrical  electronic  and fiber optic connectors in the United States  China  and internationally. It,Data/Technology
 Analog Devices  Inc. designs  manufactures  and markets integrated circuits (ICs)  algorithms  software  and subsystems that leverage analog  mixed-signal  and digital signal processing technologies. The company,Data/Technology
 ANSYS  Inc. develops and markets engineering simulation software and services worldwide. The company offers ANSYS Workbench  a framework upon which its engineering simulation technologies are,Data/Technology
 Anthem  Inc.  through its subsidiaries  operates as a health benefits company in the United States. It operates through three segments: Commercial & Specialty Business  Government,Healthcare
 Aon plc  a professional services firm  provides advice and solutions to clients focused on risk  retirement  and health worldwide. It offers commercial risk solutions  including,Finance & Investment
 Apache Corporation  an independent energy company  explores for  develops  and produces natural gas  crude oil  and natural gas liquids (NGLs). The company has operations in,Energy
 Aimco is a real estate investment trust focused on the ownership and management of quality apartment communities located in select markets in the United States.,Energy
 Apple Inc. designs  manufactures  and markets smartphones  personal computers  tablets  wearables  and accessories worldwide. It also sells various related services. The company offers iPhone  a,Data/Technology
 Applied Materials  Inc. provides manufacturing equipment  services  and software to the semiconductor  display  and related industries. It operates through three segments: Semiconductor Systems  Applied Global,Data/Technology
 Aptiv PLC designs  manufacturers  and sells vehicle components worldwide. The company provides electrical  electronic  and safety technology solutions to the automotive and commercial vehicle markets.,Lifestyle & Consumer
